YR_EST,LAT_DEG,LONG_DEG,ELEV,PostOffice,State,County,DateEstablished,DateDiscontinued,ZipCode
1792,40.2737002,-76.8844179,101,HARRISBURG,PA,DAUPHIN COUNTY,08/13/1792,,17105
1792,39.427337,-75.2340768,3,BRIDGETON,NJ,CUMBERLAND COUNTY,08/14/1792,,8302
1792,41.7001095,-70.2994664,11,BARNSTABLE,MA,BARNSTABLE COUNTY,08/16/1792,,2630
1792,36.7098335,-81.9773482,629,ABINGDON,VA,WASHINGTON COUNTY,08/20/1792,,24210
1792,38.0293059,-78.4766781,142,CHARLOTTESVILLE,VA,ALBEMARLE COUNTY,08/20/1792,,22906
1792,37.6456329,-84.7721702,300,DANVILLE,KY,BOYLE COUNTY,08/20/1792,,40422
1792,39.6417629,-77.7199932,164,HAGERSTOWN,MD,WASHINGTON COUNTY,08/20/1792,,21740
1792,37.7840208,-79.4428157,324,LEXINGTON,VA,INDEPENDENT CITY,08/20/1792,,24450
1792,36.407317,-83.0054423,392,ROGERSVILLE,TN,HAWKINS COUNTY,08/20/1792,,37857
1792,37.3526369,-75.945765,9,EASTVILLE,VA,NORTHAMPTON COUNTY,09/12/1792,,23347
1792,37.9695672,-75.463812,11,HORNTOWN,VA,ACCOMACK COUNTY,09/12/1792,,23395
1792,35.0526641,-78.8783585,31,FAYETTEVILLE,NC,CUMBERLAND COUNTY,09/22/1792,,28302
1792,36.190158,-76.4660519,3,HERTFORD,NC,PERQUIMANS COUNTY,09/27/1792,,27944
1792,39.7137238,-75.6093709,10,NEWPORT,DE,NEW CASTLE COUNTY,10/01/1792,6/30/45,
1792,33.4709702,-81.9748379,43,AUGUSTA,GA,RICHMOND COUNTY,10/02/1792,,30901
1792,34.0007104,-81.0348144,88,COLUMBIA,SC,RICHLAND COUNTY,10/02/1792,,29201
1792,41.3359327,-71.9059042,9,STONINGTON,CT,NEW LONDON COUNTY,11/28/1792,,6378
1792,32.5887936,-80.9273299,3,COOSAWHATCHIE,SC,JASPER COUNTY,12/00/1792,12/3/65,29912
1793,41.2917652,-72.3761956,9,OLD SAYBROOK,CT,MIDDLESEX COUNTY,01/29/1793,,6475
1793,44.0153371,-73.16734,123,MIDDLEBURY,VT,ADDISON COUNTY,02/28/1793,,5753
1793,43.9145244,-69.9653278,19,BRUNSWICK,ME,CUMBERLAND COUNTY,03/20/1793,,4011
1793,43.2081366,-71.5375718,83,CONCORD,NH,MERRIMACK COUNTY,03/20/1793,,3301
1793,41.9270367,-73.9973608,60,KINGSTON,NY,ULSTER COUNTY,03/20/1793,,12401
1793,39.449556,-75.7163207,21,MIDDLETOWN,DE,NEW CASTLE COUNTY,03/20/1793,,19709
1793,41.9584367,-70.6672577,23,PLYMOUTH,MA,PLYMOUTH COUNTY,03/20/1793,,2360
1793,41.2814842,-73.4981792,223,RIDGEFIELD,CT,FAIRFIELD COUNTY,03/20/1793,,6877
1793,41.7589954,-70.4939163,4,SANDWICH,MA,BARNSTABLE COUNTY,04/25/1793,,2563
